dataset,half,split_seed,group,nominal_rows,unique_rows,pool_rows_in_group
celeba,test,4,1,373,365,5985
celeba,test,4,2,373,338,2025
celeba,test,4,3,7095,140,140
celeba,cal,5,0,7095,4388,6796
celeba,cal,5,1,373,360,5999
celeba,cal,5,2,373,337,2005
celeba,cal,5,3,7095,136,136
celeba,test,5,0,7095,4400,6856
celeba,test,5,1,373,357,5917
celeba,test,5,2,373,347,2018
celeba,test,5,3,7095,145,145
celeba,cal,6,0,7095,4404,6858
celeba,cal,6,1,373,360,5926
celeba,cal,6,2,373,339,2020
celeba,cal,6,3,7095,132,132
celeba,test,6,0,7095,4363,6794
celeba,test,6,1,373,365,5990
celeba,test,6,2,373,338,2003
celeba,test,6,3,7095,149,149
celeba,cal,7,0,7095,4462,6836
celeba,cal,7,1,373,361,5873
celeba,cal,7,2,373,337,2076
celeba,cal,7,3,7095,151,151
celeba,test,7,0,7095,4413,6816
celeba,test,7,1,373,358,6043
celeba,test,7,2,373,336,1947
celeba,test,7,3,7095,130,130
celeba,cal,8,0,7095,4419,6817
celeba,cal,8,1,373,360,5971
celeba,cal,8,2,373,341,2015
celeba,cal,8,3,7095,133,133
celeba,test,8,0,7095,4396,6835
celeba,test,8,1,373,362,5945
celeba,test,8,2,373,343,2008
celeba,test,8,3,7095,148,148
celeba,cal,9,0,7095,4466,6826
celeba,cal,9,1,373,365,5948
celeba,cal,9,2,373,342,2020
celeba,cal,9,3,7095,142,142
celeba,test,9,0,7095,4373,6826
celeba,test,9,1,373,362,5968
celeba,test,9,2,373,344,2003
celeba,test,9,3,7095,139,139
